"","GEOID","var","var_type","value"
"282","13059000900","Pov_Und18","est",1060
"283","13059000900","Rce_AI","est",0
"284","13059000900","Rce_AsnNH","est",14
"285","13059000900","Rce_BlkNH","est",2942
"286","13059000900","Rce_Hisp","est",180
"287","13059000900","Rce_HPI","est",22
"288","13059000900","Rce_OthNH","est",0
"289","13059000900","Rce_WhtNH","est",952
"290","13059000900","Rent30","est",864
"291","13059000900","Sch_grad","est",59
"292","13059000900","Sch_Kpre","est",93
"293","13059000900","Sch_ugrad","est",380
"294","13059000900","Trn_car","est",1186
"295","13059000900","Trn_carpool","est",106
"296","13059000900","Trn_home","est",54
"297","13059000900","Trn_noveh","est",197
"298","13059000900","Trn_pub","est",46
"299","13059000900","Trn_taxi","est",129
"300","13059000900","Trn_walk","est",235
"301","13059001200","Age05","est",151
"302","13059001200","Age18_24","est",379
"303","13059001200","AgeO65","est",743
"304","13059001200","AgeU18","est",396
"305","13059001200","Ed_ba","est",804
"306","13059001200","Ed_hsgrad","est",311
"307","13059001200","Ed_lesshs","est",83
"308","13059001200","Ed_ma","est",421
"309","13059001200","Ed_prof_doc","est",479
"310","13059001200","Ed_somecol","est",275
"311","13059001200","Empl_labor","est",1599
"312","13059001200","Empl_unemp","est",114
"313","13059001200","HInsur_FBNat","est",67
"314","13059001200","HInsur_FBNC","est",194
"315","13059001200","HInsur_Nat","est",2535
"316","13059001200","HousOwn","est",1571
"317","13059001200","HousRent","est",1436
"318","13059001200","Inc_10K","est",213
"319","13059001200","Inc_200K","est",298
"320","13059001200","Inc100K_149K","est",309
"321","13059001200","Inc10K_24K","est",313
"322","13059001200","Inc150K_199K","est",62
"323","13059001200","Inc25K_49K","est",282
"324","13059001200","Inc50K_74K","est",87
"325","13059001200","Inc75K_99K","est",152
"326","13059001200","Ind_ag","est",0
"327","13059001200","Ind_arts","est",118
"328","13059001200","Ind_const","est",54
"329","13059001200","Ind_edhlth","est",651
"330","13059001200","Ind_finan","est",168
"331","13059001200","Ind_info","est",0
"332","13059001200","Ind_manf","est",137
"333","13059001200","Ind_other","est",54
"334","13059001200","Ind_prof","est",197
"335","13059001200","Ind_pubad","est",63
"336","13059001200","Ind_retail","est",117
"337","13059001200","Ind_trans","est",33
"338","13059001200","Ind_whlsl","est",28
"339","13059001200","Inet_any","est",1330
"340","13059001200","Inet_broad","est",1141
"341","13059001200","Pov_Ov65","est",743
"342","13059001200","Pov_Und18","est",394
"343","13059001200","Rce_AI","est",0
"344","13059001200","Rce_AsnNH","est",259
"345","13059001200","Rce_BlkNH","est",364
"346","13059001200","Rce_Hisp","est",238
"347","13059001200","Rce_HPI","est",0
"348","13059001200","Rce_OthNH","est",9
"349","13059001200","Rce_WhtNH","est",2133
"350","13059001200","Rent30","est",492
"351","13059001200","Sch_grad","est",144
"352","13059001200","Sch_Kpre","est",39
"353","13059001200","Sch_ugrad","est",65
"354","13059001200","Trn_car","est",1206
"355","13059001200","Trn_carpool","est",245
"356","13059001200","Trn_home","est",120
"357","13059001200","Trn_noveh","est",166
"358","13059001200","Trn_pub","est",13
"359","13059001200","Trn_taxi","est",10
"360","13059001200","Trn_walk","est",0
"361","13059001700","Age05","est",86
"362","13059001700","Age18_24","est",114
"363","13059001700","AgeO65","est",414
"364","13059001700","AgeU18","est",443
"365","13059001700","Ed_ba","est",282
"366","13059001700","Ed_hsgrad","est",358
"367","13059001700","Ed_lesshs","est",231
"368","13059001700","Ed_ma","est",216
"369","13059001700","Ed_prof_doc","est",94
"370","13059001700","Ed_somecol","est",365
"371","13059001700","Empl_labor","est",1000
"372","13059001700","Empl_unemp","est",45
"373","13059001700","HInsur_FBNat","est",172
"374","13059001700","HInsur_FBNC","est",53
"375","13059001700","HInsur_Nat","est",1416
"376","13059001700","HousOwn","est",1109
"377","13059001700","HousRent","est",899
"378","13059001700","Inc_10K","est",46
"379","13059001700","Inc_200K","est",52
"380","13059001700","Inc100K_149K","est",82
"381","13059001700","Inc10K_24K","est",211
"382","13059001700","Inc150K_199K","est",23
"383","13059001700","Inc25K_49K","est",185
"384","13059001700","Inc50K_74K","est",169
"385","13059001700","Inc75K_99K","est",92
"386","13059001700","Ind_ag","est",0
"387","13059001700","Ind_arts","est",143
"388","13059001700","Ind_const","est",36
"389","13059001700","Ind_edhlth","est",369
"390","13059001700","Ind_finan","est",29
"391","13059001700","Ind_info","est",2
"392","13059001700","Ind_manf","est",77
"393","13059001700","Ind_other","est",53
"394","13059001700","Ind_prof","est",219
"395","13059001700","Ind_pubad","est",5
"396","13059001700","Ind_retail","est",78
"397","13059001700","Ind_trans","est",4
"398","13059001700","Ind_whlsl","est",25
"399","13059001700","Inet_any","est",722
"400","13059001700","Inet_broad","est",673
"401","13059001700","Pov_Ov65","est",330
"402","13059001700","Pov_Und18","est",443
"403","13059001700","Rce_AI","est",0
"404","13059001700","Rce_AsnNH","est",1
"405","13059001700","Rce_BlkNH","est",545
"406","13059001700","Rce_Hisp","est",431
"407","13059001700","Rce_HPI","est",0
"408","13059001700","Rce_OthNH","est",0
"409","13059001700","Rce_WhtNH","est",1115
"410","13059001700","Rent30","est",238
"411","13059001700","Sch_grad","est",7
"412","13059001700","Sch_Kpre","est",31
"413","13059001700","Sch_ugrad","est",80
"414","13059001700","Trn_car","est",730
"415","13059001700","Trn_carpool","est",125
"416","13059001700","Trn_home","est",102
"417","13059001700","Trn_noveh","est",33
"418","13059001700","Trn_pub","est",30
"419","13059001700","Trn_taxi","est",33
"420","13059001700","Trn_walk","est",0
"421","13059001800","Age05","est",139
"422","13059001800","Age18_24","est",198
"423","13059001800","AgeO65","est",223
"424","13059001800","AgeU18","est",439
"425","13059001800","Ed_ba","est",421
"426","13059001800","Ed_hsgrad","est",252
"427","13059001800","Ed_lesshs","est",82
"428","13059001800","Ed_ma","est",267
"429","13059001800","Ed_prof_doc","est",228
"430","13059001800","Ed_somecol","est",335
"431","13059001800","Empl_labor","est",1215
"432","13059001800","Empl_unemp","est",42
"433","13059001800","HInsur_FBNat","est",29
"434","13059001800","HInsur_FBNC","est",39
"435","13059001800","HInsur_Nat","est",1742
"436","13059001800","HousOwn","est",1011
"437","13059001800","HousRent","est",1057
"438","13059001800","Inc_10K","est",58
"439","13059001800","Inc_200K","est",92
"440","13059001800","Inc100K_149K","est",112
"441","13059001800","Inc10K_24K","est",150
"442","13059001800","Inc150K_199K","est",80
"443","13059001800","Inc25K_49K","est",305
"444","13059001800","Inc50K_74K","est",152
"445","13059001800","Inc75K_99K","est",56
"446","13059001800","Ind_ag","est",8
"447","13059001800","Ind_arts","est",242
"448","13059001800","Ind_const","est",16
"449","13059001800","Ind_edhlth","est",445
"450","13059001800","Ind_finan","est",60
"451","13059001800","Ind_info","est",31
"452","13059001800","Ind_manf","est",87
"453","13059001800","Ind_other","est",66
"454","13059001800","Ind_prof","est",116
"455","13059001800","Ind_pubad","est",7
"456","13059001800","Ind_retail","est",80
"457","13059001800","Ind_trans","est",11
"458","13059001800","Ind_whlsl","est",55
"459","13059001800","Inet_any","est",868
"460","13059001800","Inet_broad","est",726
"461","13059001800","Pov_Ov65","est",223
"462","13059001800","Pov_Und18","est",430
"463","13059001800","Rce_AI","est",0
"464","13059001800","Rce_AsnNH","est",47
"465","13059001800","Rce_BlkNH","est",197
"466","13059001800","Rce_Hisp","est",166
"467","13059001800","Rce_HPI","est",0
"468","13059001800","Rce_OthNH","est",0
"469","13059001800","Rce_WhtNH","est",1765
"470","13059001800","Rent30","est",216
"471","13059001800","Sch_grad","est",99
"472","13059001800","Sch_Kpre","est",89
"473","13059001800","Sch_ugrad","est",144
"474","13059001800","Trn_car","est",876
"475","13059001800","Trn_carpool","est",63
"476","13059001800","Trn_home","est",83
"477","13059001800","Trn_noveh","est",9
"478","13059001800","Trn_pub","est",49
"479","13059001800","Trn_taxi","est",35
"480","13059001800","Trn_walk","est",52
"481","13059001900","Age05","est",135
"482","13059001900","Age18_24","est",672
"483","13059001900","AgeO65","est",223
"484","13059001900","AgeU18","est",442
"485","13059001900","Ed_ba","est",661
"486","13059001900","Ed_hsgrad","est",178
"487","13059001900","Ed_lesshs","est",76
"488","13059001900","Ed_ma","est",389
"489","13059001900","Ed_prof_doc","est",437
"490","13059001900","Ed_somecol","est",468
"491","13059001900","Empl_labor","est",2210
"492","13059001900","Empl_unemp","est",38
"493","13059001900","HInsur_FBNat","est",155
"494","13059001900","HInsur_FBNC","est",73
"495","13059001900","HInsur_Nat","est",2650
"496","13059001900","HousOwn","est",1006
"497","13059001900","HousRent","est",2163
"498","13059001900","Inc_10K","est",197
"499","13059001900","Inc_200K","est",143
"500","13059001900","Inc100K_149K","est",124
"501","13059001900","Inc10K_24K","est",270
"502","13059001900","Inc150K_199K","est",135
"503","13059001900","Inc25K_49K","est",258
"504","13059001900","Inc50K_74K","est",213
"505","13059001900","Inc75K_99K","est",181
"506","13059001900","Ind_ag","est",6
"507","13059001900","Ind_arts","est",578
