"","GEOID","NAME","variable","estimate","moe","source"
"99","13059150701","Census Tract 1507.01, Clarke County, Georgia","C24070_008",0,14,"American Community Survey, 5 year sample, 2016-2020"
"100","13059150701","Census Tract 1507.01, Clarke County, Georgia","C24070_009",16,27,"American Community Survey, 5 year sample, 2016-2020"
"101","13059150701","Census Tract 1507.01, Clarke County, Georgia","C24070_010",438,219,"American Community Survey, 5 year sample, 2016-2020"
"102","13059150701","Census Tract 1507.01, Clarke County, Georgia","C24070_011",1017,304,"American Community Survey, 5 year sample, 2016-2020"
"103","13059150701","Census Tract 1507.01, Clarke County, Georgia","C24070_012",359,222,"American Community Survey, 5 year sample, 2016-2020"
"104","13059150701","Census Tract 1507.01, Clarke County, Georgia","C24070_013",94,117,"American Community Survey, 5 year sample, 2016-2020"
"105","13059150701","Census Tract 1507.01, Clarke County, Georgia","C24070_014",63,54,"American Community Survey, 5 year sample, 2016-2020"
"106","13059130602","Census Tract 1306.02, Clarke County, Georgia","B01001_003",44,68,"American Community Survey, 5 year sample, 2016-2020"
"107","13059130602","Census Tract 1306.02, Clarke County, Georgia","B01001_004",71,113,"American Community Survey, 5 year sample, 2016-2020"
"108","13059130602","Census Tract 1306.02, Clarke County, Georgia","B01001_005",24,38,"American Community Survey, 5 year sample, 2016-2020"
"109","13059130602","Census Tract 1306.02, Clarke County, Georgia","B01001_006",0,14,"American Community Survey, 5 year sample, 2016-2020"
"110","13059130602","Census Tract 1306.02, Clarke County, Georgia","B01001_020",21,33,"American Community Survey, 5 year sample, 2016-2020"
"111","13059130602","Census Tract 1306.02, Clarke County, Georgia","B01001_021",88,87,"American Community Survey, 5 year sample, 2016-2020"
"112","13059130602","Census Tract 1306.02, Clarke County, Georgia","B01001_022",120,72,"American Community Survey, 5 year sample, 2016-2020"
"113","13059130602","Census Tract 1306.02, Clarke County, Georgia","B01001_023",59,55,"American Community Survey, 5 year sample, 2016-2020"
"114","13059130602","Census Tract 1306.02, Clarke County, Georgia","B01001_024",20,30,"American Community Survey, 5 year sample, 2016-2020"
"115","13059130602","Census Tract 1306.02, Clarke County, Georgia","B01001_025",0,14,"American Community Survey, 5 year sample, 2016-2020"
"116","13059130602","Census Tract 1306.02, Clarke County, Georgia","B01001_027",144,117,"American Community Survey, 5 year sample, 2016-2020"
"117","13059130602","Census Tract 1306.02, Clarke County, Georgia","B01001_028",0,14,"American Community Survey, 5 year sample, 2016-2020"
"118","13059130602","Census Tract 1306.02, Clarke County, Georgia","B01001_029",24,38,"American Community Survey, 5 year sample, 2016-2020"
"119","13059130602","Census Tract 1306.02, Clarke County, Georgia","B01001_030",0,14,"American Community Survey, 5 year sample, 2016-2020"
"120","13059130602","Census Tract 1306.02, Clarke County, Georgia","B01001_044",0,14,"American Community Survey, 5 year sample, 2016-2020"
"121","13059130602","Census Tract 1306.02, Clarke County, Georgia","B01001_045",78,55,"American Community Survey, 5 year sample, 2016-2020"
"122","13059130602","Census Tract 1306.02, Clarke County, Georgia","B01001_046",100,72,"American Community Survey, 5 year sample, 2016-2020"
"123","13059130602","Census Tract 1306.02, Clarke County, Georgia","B01001_047",119,77,"American Community Survey, 5 year sample, 2016-2020"
