School,SchoolID,Mschool,Latitude,Longitude,Hschool,var,est,moe
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,DOMCRIME,1131.07,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,DOMCRIME,1965.4,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,DOMCRIME,1059.93,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,DOMCRIME,613.56,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,DOMCRIME,886.38,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,DOMCRIME,829.24,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,DOMCRIME,951.59,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,PER3CHRO,15.947,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,PER3CHRO,11.458,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,PER3CHRO,15.652,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,PER3CHRO,10.714,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,PER3CHRO,14.947,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,PER3CHRO,10.377,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,PER3CHRO,23.622,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,PER3CHRO,19.937,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,PER3CHRO,20.67,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,PER3CHRO,27.419,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,PER3CHRO,13.158,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,PER3CHRO,14.085,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,PER3CHRO,13.793,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,PER3CHRO,10.667,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,PER3CHRO,28.814,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,PER3CHRO,17.986,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,PERBARRI,33.555,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,PERBARRI,16.667,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,PERBARRI,29.739,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,PERBARRI,28.571,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,PERBARRI,32.211,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,PERBARRI,24.528,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,PERBARRI,33.071,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,PERBARRI,17.089,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,PERBARRI,21.788,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,PERBARRI,43.548,-99
