School,acc_naics1,D1,D2,D3
Cleveland Road,AUTO REPAIR AND MAINTENANCE,0.6687124726553787,0.8581435101099992,0.9261532871825069
Fowler Drive,AUTO REPAIR AND MAINTENANCE,0.46207649175552407,0.8410518250418959,0.9781209199959459
Gaines,AUTO REPAIR AND MAINTENANCE,0.42677188521003867,0.545435838229259,0.7274820741898629
Howard B Stroud,AUTO REPAIR AND MAINTENANCE,0.6457893856798383,0.9195768540507309,1.10115826463419
Judia Jackson Harris,AUTO REPAIR AND MAINTENANCE,0.6440077442435782,1.103053450203612,1.380404731238712
Oglethorpe,AUTO REPAIR AND MAINTENANCE,0.8838603861351073,1.3963544687910603,1.4694838540038633
Timothy Rd.,AUTO REPAIR AND MAINTENANCE,0.7678238511244799,0.9162725142980781,1.12077880387285
Whit Davis,AUTO REPAIR AND MAINTENANCE,2.170361255637449,2.6352500328041963,3.270677680560588
Whitehead Rd.,AUTO REPAIR AND MAINTENANCE,0.8374167416310379,1.7473903906259312,2.5657862168907117
Winterville,AUTO REPAIR AND MAINTENANCE,1.7869625400881948,2.2317418204970436,2.4126584615146394
Alps Road,"AUTO REPAIR AND,                                                      MAINTENANCE",0.37142165437869346,0.4424938448612051,0.5915080165004831
Barnett Shoals,"AUTO REPAIR AND,                                                      MAINTENANCE",1.6737031714632402,2.0776314227459327,2.2810856017936074
Barrow,"AUTO REPAIR AND,                                                      MAINTENANCE",0.7445757278304249,1.1016119221438063,1.3214151214805085
Chase Street,"AUTO REPAIR AND,                                                      MAINTENANCE",0.5851271567234347,0.7023678582725265,0.9257396734633954
Choice Zone-East,"AUTO REPAIR AND,                                                      MAINTENANCE",0.8038599502502538,1.4342121610453513,1.8387778656298441
Choice Zone-West,"AUTO REPAIR AND,                                                      MAINTENANCE",0.8701512986454043,1.0268919279679933,1.0832155433294182
Cleveland Road,"AUTO REPAIR AND,                                                      MAINTENANCE",0.968676278793142,1.3537557445862216,1.4799160935045115
Fowler Drive,"AUTO REPAIR AND,                                                      MAINTENANCE",0.592173962353822,0.9971152185534773,1.3076382662784454
Gaines,"AUTO REPAIR AND,                                                      MAINTENANCE",0.7001408721203844,0.8751835467273951,1.012658983079088
Howard B Stroud,"AUTO REPAIR AND,                                                      MAINTENANCE",0.9507512306921849,1.2938876377393953,1.4328830026219723
Judia Jackson Harris,"AUTO REPAIR AND,                                                      MAINTENANCE",1.5991420185693948,2.1006646549634995,2.538223408097207
Oglethorpe,"AUTO REPAIR AND,                                                      MAINTENANCE",1.3994921635929538,1.5307679472739733,1.632238897098908
Timothy Rd.,"AUTO REPAIR AND,                                                      MAINTENANCE",0.6789790268922501,0.9485737684196787,1.2528992670153698
Whit Davis,"AUTO REPAIR AND,                                                      MAINTENANCE",2.5130909918772315,3.3989355708732916,3.7636021229705876
Whitehead Rd.,"AUTO REPAIR AND,                                                      MAINTENANCE",1.0353716071751553,1.1536272741492293,1.3498174059819603
Winterville,"AUTO REPAIR AND,                                                      MAINTENANCE",1.6674798600382803,2.227917356737225,2.5501163859345475
Alps Road,AUTOMOTIVE PARTS AND ACCESSORIES STORES,0.5251883568607968,0.793859833513961,0.9645254532162549
Barnett Shoals,AUTOMOTIVE PARTS AND ACCESSORIES STORES,1.3145961239172523,2.297916525763575,2.60269864457304
Barrow,AUTOMOTIVE PARTS AND ACCESSORIES STORES,1.4907365386859779,1.55363934440607,1.892663247587245
Chase Street,AUTOMOTIVE PARTS AND ACCESSORIES STORES,0.8405784497255554,0.8964859785407737,1.1238885763546254
Choice Zone-East,AUTOMOTIVE PARTS AND ACCESSORIES STORES,0.6063876836030182,1.0355091100612854,1.3158883495068894
Choice Zone-West,AUTOMOTIVE PARTS AND ACCESSORIES STORES,2.129081477515053,3.1282593139376473,3.2268109718881464
