School,SchoolID,Mschool,Latitude,Longitude,Hschool,var,est,moe,description
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,CRIMECLE,29.33,-99,Crime Clearance Percentage 2000-2015
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,CRIMECLE,31.32,-99,Crime Clearance Percentage 2000-2015
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,CRIMECLE,37.63,-99,Crime Clearance Percentage 2000-2015
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,ACCMILE,50.5,-99,Traffic Accidents per Road Mile
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,ACCMILE,15.3,-99,Traffic Accidents per Road Mile
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,ACCMILE,45.6,-99,Traffic Accidents per Road Mile
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,ACCMILE,8,-99,Traffic Accidents per Road Mile
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,ACCMILE,31.5,-99,Traffic Accidents per Road Mile
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,ACCMILE,17.2,-99,Traffic Accidents per Road Mile
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,ACCMILE,16.9,-99,Traffic Accidents per Road Mile
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,ACCMILE,31.7,-99,Traffic Accidents per Road Mile
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,ACCMILE,17.2,-99,Traffic Accidents per Road Mile
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,ACCMILE,7,-99,Traffic Accidents per Road Mile
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,ACCMILE,19.4,-99,Traffic Accidents per Road Mile
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,ACCMILE,15.3,-99,Traffic Accidents per Road Mile
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,ACCMILE,20,-99,Traffic Accidents per Road Mile
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,ACCMILE,3.4,-99,Traffic Accidents per Road Mile
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,ACCMILE,9.5,-99,Traffic Accidents per Road Mile
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,ACCMILE,7.8,-99,Traffic Accidents per Road Mile
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,PBA10M,7.19,-99,Pedestrian/Bicycle Accidents per 10 Road Miles
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,PBA10M,1.22,-99,Pedestrian/Bicycle Accidents per 10 Road Miles
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,PBA10M,7.34,-99,Pedestrian/Bicycle Accidents per 10 Road Miles
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,PBA10M,0.28,-99,Pedestrian/Bicycle Accidents per 10 Road Miles
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,PBA10M,3.04,-99,Pedestrian/Bicycle Accidents per 10 Road Miles
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,PBA10M,0.33,-99,Pedestrian/Bicycle Accidents per 10 Road Miles
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,PBA10M,1.26,-99,Pedestrian/Bicycle Accidents per 10 Road Miles
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,PBA10M,3.14,-99,Pedestrian/Bicycle Accidents per 10 Road Miles
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,PBA10M,1.79,-99,Pedestrian/Bicycle Accidents per 10 Road Miles
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,PBA10M,0.73,-99,Pedestrian/Bicycle Accidents per 10 Road Miles
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,PBA10M,2.24,-99,Pedestrian/Bicycle Accidents per 10 Road Miles
