School,SchoolID,Mschool,Latitude,Longitude,Hschool,var,est,moe,description
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,PER3MPRE,0.738994,-99,% Population within 3 Miles of Pre-K/Nursery
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,PER3MPRE,1,-99,% Population within 3 Miles of Pre-K/Nursery
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,PER3MPRE,0.460044,-99,% Population within 3 Miles of Pre-K/Nursery
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,PER3MPRE,0.93864,-99,% Population within 3 Miles of Pre-K/Nursery
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,PER3MPRE,0.270275,-99,% Population within 3 Miles of Pre-K/Nursery
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,PER3MPRE,0.856759,-99,% Population within 3 Miles of Pre-K/Nursery
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,PER3MPRE,0.498501,-99,% Population within 3 Miles of Pre-K/Nursery
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,ELATTEND,0.949,-99,Elementary Attendance Rates
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,ELATTEND,0.963,-99,Elementary Attendance Rates
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,ELATTEND,0.965,-99,Elementary Attendance Rates
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,ELATTEND,NA,-99,Elementary Attendance Rates
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,ELATTEND,0.964,-99,Elementary Attendance Rates
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,ELATTEND,0.959,-99,Elementary Attendance Rates
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,ELATTEND,0.963,-99,Elementary Attendance Rates
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,ELATTEND,0.953,-99,Elementary Attendance Rates
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,ELATTEND,0.956,-99,Elementary Attendance Rates
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,ELATTEND,0.971,-99,Elementary Attendance Rates
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,ELATTEND,NA,-99,Elementary Attendance Rates
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,ELATTEND,0.959,-99,Elementary Attendance Rates
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,ELATTEND,0.968,-99,Elementary Attendance Rates
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,ELATTEND,0.963,-99,Elementary Attendance Rates
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,ELATTEND,NA,-99,Elementary Attendance Rates
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,ELATTEND,0.961,-99,Elementary Attendance Rates
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,EYEAREXP,9,-99,Elementary Average Teacher Years of Experience
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,EYEAREXP,14,-99,Elementary Average Teacher Years of Experience
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,EYEAREXP,9,-99,Elementary Average Teacher Years of Experience
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,EYEAREXP,NA,-99,Elementary Average Teacher Years of Experience
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,EYEAREXP,10,-99,Elementary Average Teacher Years of Experience
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,EYEAREXP,12,-99,Elementary Average Teacher Years of Experience
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,EYEAREXP,9,-99,Elementary Average Teacher Years of Experience
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,EYEAREXP,9,-99,Elementary Average Teacher Years of Experience
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,EYEAREXP,8,-99,Elementary Average Teacher Years of Experience
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,EYEAREXP,10,-99,Elementary Average Teacher Years of Experience
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,EYEAREXP,NA,-99,Elementary Average Teacher Years of Experience
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,EYEAREXP,12,-99,Elementary Average Teacher Years of Experience
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,EYEAREXP,10,-99,Elementary Average Teacher Years of Experience
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,EYEAREXP,8,-99,Elementary Average Teacher Years of Experience
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,EYEAREXP,NA,-99,Elementary Average Teacher Years of Experience
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,EYEAREXP,9,-99,Elementary Average Teacher Years of Experience
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,ELCSIZE,20.61,-99,Elemantary Average Class Size
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,ELCSIZE,20.56,-99,Elemantary Average Class Size
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,ELCSIZE,22.58,-99,Elemantary Average Class Size
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,ELCSIZE,NA,-99,Elemantary Average Class Size
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,ELCSIZE,19.14,-99,Elemantary Average Class Size
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,ELCSIZE,17.98,-99,Elemantary Average Class Size
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,ELCSIZE,18,-99,Elemantary Average Class Size
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,ELCSIZE,17.78,-99,Elemantary Average Class Size
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,ELCSIZE,17.68,-99,Elemantary Average Class Size
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,ELCSIZE,20.29,-99,Elemantary Average Class Size
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,ELCSIZE,NA,-99,Elemantary Average Class Size
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,ELCSIZE,17.09,-99,Elemantary Average Class Size
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,ELCSIZE,20.71,-99,Elemantary Average Class Size
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,ELCSIZE,22.09,-99,Elemantary Average Class Size
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,ELCSIZE,NA,-99,Elemantary Average Class Size
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,ELCSIZE,24.76,-99,Elemantary Average Class Size
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,ESTRATIO,10.74,-99,Elementary Student-Teacher Ratio
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,ESTRATIO,12.36,-99,Elementary Student-Teacher Ratio
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,ESTRATIO,12.77,-99,Elementary Student-Teacher Ratio
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,ESTRATIO,NA,-99,Elementary Student-Teacher Ratio
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,ESTRATIO,13.71,-99,Elementary Student-Teacher Ratio
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,ESTRATIO,10.11,-99,Elementary Student-Teacher Ratio
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,ESTRATIO,12.94,-99,Elementary Student-Teacher Ratio
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,ESTRATIO,12.09,-99,Elementary Student-Teacher Ratio
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,ESTRATIO,12.88,-99,Elementary Student-Teacher Ratio
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,ESTRATIO,16.18,-99,Elementary Student-Teacher Ratio
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,ESTRATIO,NA,-99,Elementary Student-Teacher Ratio
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,ESTRATIO,10.8,-99,Elementary Student-Teacher Ratio
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,ESTRATIO,14.81,-99,Elementary Student-Teacher Ratio
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,ESTRATIO,13.67,-99,Elementary Student-Teacher Ratio
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,ESTRATIO,NA,-99,Elementary Student-Teacher Ratio
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,ESTRATIO,15.07,-99,Elementary Student-Teacher Ratio
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,CCRASH,70,-99,Count of crashes per 1000
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,CCRASH,30,-99,Count of crashes per 1000
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,CCRASH,50,-99,Count of crashes per 1000
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,CCRASH,10,-99,Count of crashes per 1000
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,CCRASH,70,-99,Count of crashes per 1000
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,CCRASH,70,-99,Count of crashes per 1000
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,CCRASH,70,-99,Count of crashes per 1000
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,CCRASH,60,-99,Count of crashes per 1000
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,CCRASH,40,-99,Count of crashes per 1000
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,CCRASH,20,-99,Count of crashes per 1000
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,CCRASH,30,-99,Count of crashes per 1000
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,CCRASH,40,-99,Count of crashes per 1000
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,CCRASH,50,-99,Count of crashes per 1000
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,CCRASH,10,-99,Count of crashes per 1000
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,CCRASH,30,-99,Count of crashes per 1000
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,CCRASH,40,-99,Count of crashes per 1000
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,R_SROAD,1.28,-99,Area Ratio Public Sidewalk to Road
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,R_SROAD,0.49,-99,Area Ratio Public Sidewalk to Road
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,R_SROAD,6.48,-99,Area Ratio Public Sidewalk to Road
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,R_SROAD,0.14,-99,Area Ratio Public Sidewalk to Road
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,R_SROAD,1.96,-99,Area Ratio Public Sidewalk to Road
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,R_SROAD,1.75,-99,Area Ratio Public Sidewalk to Road
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,R_SROAD,0.25,-99,Area Ratio Public Sidewalk to Road
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,R_SROAD,0.86,-99,Area Ratio Public Sidewalk to Road
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,R_SROAD,0.8,-99,Area Ratio Public Sidewalk to Road
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,R_SROAD,0.01,-99,Area Ratio Public Sidewalk to Road
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,R_SROAD,0.42,-99,Area Ratio Public Sidewalk to Road
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,R_SROAD,0.38,-99,Area Ratio Public Sidewalk to Road
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,R_SROAD,1.41,-99,Area Ratio Public Sidewalk to Road
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,R_SROAD,1.05,-99,Area Ratio Public Sidewalk to Road
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,R_SROAD,0.98,-99,Area Ratio Public Sidewalk to Road
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,R_SROAD,0.47,-99,Area Ratio Public Sidewalk to Road
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,R_SPERS,86.53,-99,Ratio Public Sidewalk Area (sq ft) per person
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,R_SPERS,39.04,-99,Ratio Public Sidewalk Area (sq ft) per person
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,R_SPERS,134.06,-99,Ratio Public Sidewalk Area (sq ft) per person
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,R_SPERS,9.57,-99,Ratio Public Sidewalk Area (sq ft) per person
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,R_SPERS,111.31,-99,Ratio Public Sidewalk Area (sq ft) per person
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,R_SPERS,35.76,-99,Ratio Public Sidewalk Area (sq ft) per person
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,R_SPERS,28.98,-99,Ratio Public Sidewalk Area (sq ft) per person
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,R_SPERS,73.43,-99,Ratio Public Sidewalk Area (sq ft) per person
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,R_SPERS,69.46,-99,Ratio Public Sidewalk Area (sq ft) per person
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,R_SPERS,1.06,-99,Ratio Public Sidewalk Area (sq ft) per person
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,R_SPERS,35.84,-99,Ratio Public Sidewalk Area (sq ft) per person
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,R_SPERS,32.04,-99,Ratio Public Sidewalk Area (sq ft) per person
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,R_SPERS,26.16,-99,Ratio Public Sidewalk Area (sq ft) per person
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,R_SPERS,86.6,-99,Ratio Public Sidewalk Area (sq ft) per person
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,R_SPERS,68.24,-99,Ratio Public Sidewalk Area (sq ft) per person
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,R_SPERS,39.8,-99,Ratio Public Sidewalk Area (sq ft) per person
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,BROADS,22.26,-99,% of Roads with Bike Lanes
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,BROADS,20.87,-99,% of Roads with Bike Lanes
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,BROADS,22.35,-99,% of Roads with Bike Lanes
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,BROADS,13.88,-99,% of Roads with Bike Lanes
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,BROADS,16.69,-99,% of Roads with Bike Lanes
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,BROADS,17.71,-99,% of Roads with Bike Lanes
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,BROADS,5.29,-99,% of Roads with Bike Lanes
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,BROADS,11.66,-99,% of Roads with Bike Lanes
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,BROADS,33.76,-99,% of Roads with Bike Lanes
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,BROADS,2.13,-99,% of Roads with Bike Lanes
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,BROADS,15.7,-99,% of Roads with Bike Lanes
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,BROADS,16.14,-99,% of Roads with Bike Lanes
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,BROADS,13.72,-99,% of Roads with Bike Lanes
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,BROADS,13.5,-99,% of Roads with Bike Lanes
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,BROADS,7.86,-99,% of Roads with Bike Lanes
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,BROADS,27.81,-99,% of Roads with Bike Lanes
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,BUSZONE,6.62,-99,% school zone covered by bus service area
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,BUSZONE,1.75,-99,% school zone covered by bus service area
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,BUSZONE,5.97,-99,% school zone covered by bus service area
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,BUSZONE,3.42,-99,% school zone covered by bus service area
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,BUSZONE,6.59,-99,% school zone covered by bus service area
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,BUSZONE,0.51,-99,% school zone covered by bus service area
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,BUSZONE,1.77,-99,% school zone covered by bus service area
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,BUSZONE,7.55,-99,% school zone covered by bus service area
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,BUSZONE,4.22,-99,% school zone covered by bus service area
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,BUSZONE,0.11,-99,% school zone covered by bus service area
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,BUSZONE,6.58,-99,% school zone covered by bus service area
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,BUSZONE,2.33,-99,% school zone covered by bus service area
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,BUSZONE,2.93,-99,% school zone covered by bus service area
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,BUSZONE,0.41,-99,% school zone covered by bus service area
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,BUSZONE,0.86,-99,% school zone covered by bus service area
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,BUSZONE,0.38,-99,% school zone covered by bus service area
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,Age05.y16,7.28,3.63,NA
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,Age05.y16,4.87,2.26,NA
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,Age05.y16,2.25,1.4,NA
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,Age05.y16,5.96,2.75,NA
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,Age05.y16,5.76,2.41,NA
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,Age05.y16,10.05,3.21,NA
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,Age05.y16,6.03,3.47,NA
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,Age05.y16,6.89,2.7,NA
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,Age05.y16,6.84,3.31,NA
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,Age05.y16,4.82,2.95,NA
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,Age05.y16,7.76,3.27,NA
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,Age05.y16,8.11,3.42,NA
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,Age05.y16,5.74,3.19,NA
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,Age05.y16,7.78,2.78,NA
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,Age05.y16,6.85,3.05,NA
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,Age05.y16,5.61,2.27,NA
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,Age18_24.y16,18.91,7.33,NA
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,Age18_24.y16,40.08,9.05,NA
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,Age18_24.y16,63.84,8.69,NA
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,Age18_24.y16,21.25,6.81,NA
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,Age18_24.y16,20.58,5.99,NA
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,Age18_24.y16,9.29,3.33,NA
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,Age18_24.y16,15.43,5.35,NA
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,Age18_24.y16,9.96,3.18,NA
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,Age18_24.y16,23.77,7.06,NA
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,Age18_24.y16,33.16,8.96,NA
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,Age18_24.y16,8.71,3.34,NA
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,Age18_24.y16,15.02,5.65,NA
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,Age18_24.y16,17.42,6.15,NA
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,Age18_24.y16,11.9,4.01,NA
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,Age18_24.y16,10.29,4.16,NA
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,Age18_24.y16,7.8,2.65,NA
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,AgeO65.y16,14.23,3.46,NA
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,AgeO65.y16,7.88,2.27,NA
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,AgeO65.y16,4.29,1.99,NA
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,AgeO65.y16,6.64,2.59,NA
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,AgeO65.y16,11.74,2.7,NA
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,AgeO65.y16,7.33,1.84,NA
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,AgeO65.y16,14.35,2.98,NA
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,AgeO65.y16,6.99,2,NA
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,AgeO65.y16,10.99,3.11,NA
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,AgeO65.y16,4.79,2.29,NA
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,AgeO65.y16,7.9,2.2,NA
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,AgeO65.y16,14.44,3.36,NA
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,AgeO65.y16,16.87,3.44,NA
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,AgeO65.y16,13.24,2.94,NA
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,AgeO65.y16,13.05,2.83,NA
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,AgeO65.y16,12.43,2.58,NA
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,AgeU18.y16,21.79,6.33,NA
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,AgeU18.y16,11.88,3.33,NA
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,AgeU18.y16,6.59,2.51,NA
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,AgeU18.y16,18.48,4.93,NA
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,AgeU18.y16,17.45,4.1,NA
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,AgeU18.y16,35.71,5.72,NA
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,AgeU18.y16,14.08,4.91,NA
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,AgeU18.y16,26.63,5.91,NA
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,AgeU18.y16,19.53,5.22,NA
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,AgeU18.y16,19.63,5.8,NA
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,AgeU18.y16,31.19,6.74,NA
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,AgeU18.y16,16.1,4.63,NA
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,AgeU18.y16,15.3,4.65,NA
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,AgeU18.y16,22.32,4.47,NA
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,AgeU18.y16,20.39,4.82,NA
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,AgeU18.y16,25.6,5.21,NA
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,Ed_ba.y16,20.96,5.59,NA
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,Ed_ba.y16,27.67,7.65,NA
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,Ed_ba.y16,34.53,10.64,NA
