GEOID,est,var,description,source,type,moe
13059030102,329.60451926910616,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059030200,199.19137466307276,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059130300,188.06014937316618,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059130400,84.17962688797202,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059130500,85.2909920632838,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059130601,80.43138510382168,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059130602,67.66020329703632,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059130701,52.75518486050802,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059130702,57.936637249395694,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059140300,166.8502024291498,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059140400,881.75448164611,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059140500,53.37285093639813,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059140600,80.38048498845268,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059150300,80.37230387793562,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059150400,75.208734746307,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059150500,142.38771903246982,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059150600,100.67314351465653,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059150701,66.80831012557566,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059150702,79.65830833185879,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059150800,83.51944761230106,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059150900,58.06309221605562,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059000100,88.48197135997256,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059000401,96.67580732100105,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059000402,60.83440731820482,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059000600,115.5163078661472,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059000900,104.97632006021742,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
